preprocess,feature_selection,percentage_selection,depth,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, ANOVA, 0.1, 10, 0.8728044447457106, 0.9881912877083956, 0.9145316538212807, 0.8349090909090909, 0.9801756058947492
 standardize, ANOVA, 0.1, 20, 0.8565794608919516, 0.9864791097507771, 0.8827651761341668, 0.8320000000000001, 0.9446177097305594
 standardize, ANOVA, 0.1, None, 0.8550375221291876, 0.9862672920900671, 0.8766732915824118, 0.8345454545454546, 0.9419555713468608
 standardize, ANOVA, 0.3, 2, 0.48709792289805715, 0.9664448381187665, 0.9423831880553448, 0.3287272727272727, 0.6644512353061923
 standardize, ANOVA, 0.3, 5, 0.7952353570479334, 0.9814131583967406, 0.8557346912979119, 0.742909090909091, 0.9377276128651524
 standardize, ANOVA, 0.3, 10, 0.9217263664640629, 0.9927806189473255, 0.9725351111654831, 0.876, 0.9887370029159168
 standardize, ANOVA, 0.3, 20, 0.9318129817278772, 0.9933984134473042, 0.9349476778437449, 0.9287272727272727, 0.9698991201859044
 standardize, ANOVA, 0.3, None, 0.9293229630273927, 0.9931336374767362, 0.9292323605165642, 0.9294545454545453, 0.9657968972137583
 standardize, ANOVA, 0.5, 2, 0.48709792289805715, 0.9664448381187665, 0.9423831880553448, 0.3287272727272727, 0.6644512353061923
 standardize, ANOVA, 0.5, 5, 0.805200026863378, 0.9824192977376658, 0.8716408653270694, 0.7483636363636365, 0.9372504049112594
 standardize, ANOVA, 0.5, 10, 0.9314674938682937, 0.9936455480723161, 0.9772807524267104, 0.8898181818181818, 0.9848853200635057
 standardize, ANOVA, 0.5, 20, 0.936491595640236, 0.9938573672908981, 0.9407275979494468, 0.9323636363636364, 0.9668022420599047
 standardize, ANOVA, 0.5, None, 0.9377702939902051, 0.993963268331892, 0.9396356422867234, 0.9359999999999999, 0.968984203837173
 standardize, ANOVA, 0.7, 2, 0.48709792289805715, 0.9664448381187665, 0.9423831880553448, 0.3287272727272727, 0.6644512353061923
 standardize, ANOVA, 0.7, 5, 0.8052814319800907, 0.9824369515461999, 0.8723479016469288, 0.748, 0.9369114269872745
 standardize, ANOVA, 0.7, 10, 0.9299963693336885, 0.9935219978964049, 0.9775392495284718, 0.8869090909090909, 0.9831987532929356
