preprocess,feature_selection,percentage_selection,depth,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, PCA, 0.7, None, 0.9821919907383861, 0.9944976647586724, 0.9813474411713303, 0.9830390339603963, 0.9898140762535321
 standardize, PCA, 0.8, 2, 0.811114833479726, 0.9438795721240318, 0.8382499274232327, 0.820262649751349, 0.9482395311027492
 standardize, PCA, 0.8, 5, 0.9544578381629594, 0.9861422632046594, 0.9672393722201658, 0.9422113314754327, 0.9885145245092433
 standardize, PCA, 0.8, 10, 0.981119729470108, 0.994184156879582, 0.983173281521933, 0.9790785087640147, 0.9857975635194187
 standardize, PCA, 0.8, 20, 0.9819706379407547, 0.9944349712919924, 0.9820218608303122, 0.9819220248883068, 0.9877924388673491
 standardize, PCA, 0.8, None, 0.9824301444043648, 0.9945760506362105, 0.9824313581647026, 0.9824295875408939, 0.9896113087393967
 standardize, PCA, 0.9, 2, 0.811114833479726, 0.9438795721240318, 0.8382499274232327, 0.820262649751349, 0.9482395311027492
 standardize, PCA, 0.9, 5, 0.9592468985744373, 0.9875060850787916, 0.964617223407984, 0.9542981698561201, 0.9890121154238146
 standardize, PCA, 0.9, 10, 0.980466003432811, 0.993980358266881, 0.9820663010696744, 0.9788753083969033, 0.9857709790400628
 standardize, PCA, 0.9, 20, 0.9825175933113958, 0.9946074157994097, 0.9831163570788026, 0.9819221795701392, 0.9880343078120152
 standardize, PCA, 0.9, None, 0.9828269950452133, 0.9947014682860026, 0.983226073565123, 0.9824298453439478, 0.9896855872377353
 standardize, ANOVA, 0.1, 2, 0.837255970359541, 0.9547899013856318, 0.9410885743883824, 0.7543183300549379, 0.8828874630933298
 standardize, ANOVA, 0.1, 5, 0.9292437864093633, 0.9787901463307482, 0.9556289003779714, 0.9048372102615927, 0.9817178914480955
 standardize, ANOVA, 0.1, 10, 0.9740637824853062, 0.9919894690309621, 0.9734651267834055, 0.9747113765909671, 0.9916580072323766
 standardize, ANOVA, 0.1, 20, 0.9753294820853103, 0.992365693721221, 0.972858235089182, 0.9778597706068426, 0.9900856328674182
 standardize, ANOVA, 0.1, None, 0.9744494600115738, 0.992083517831583, 0.9709045553878879, 0.9780627647315109, 0.9898025295895151
 standardize, ANOVA, 0.3, 2, 0.837255970359541, 0.9547899013856318, 0.9410885743883824, 0.7543183300549379, 0.8828874630933298
 standardize, ANOVA, 0.3, 5, 0.9351908306959744, 0.9805929133922795, 0.9642161117759557, 0.9079838512167016, 0.9706853301809218
 standardize, ANOVA, 0.3, 10, 0.9770522500622645, 0.9929457317680681, 0.9807731299839197, 0.9733911155911553, 0.989586992329541
 standardize, ANOVA, 0.3, 20, 0.986584043619452, 0.9958614866328046, 0.9872907386885986, 0.9858826016452991, 0.992210302308628
 standardize, ANOVA, 0.3, None, 0.9871999531389285, 0.9960496051212205, 0.9875048742510518, 0.9868983456778029, 0.9927320637015684
 standardize, ANOVA, 0.5, 2, 0.837255970359541, 0.9547899013856318, 0.9410885743883824, 0.7543183300549379, 0.8828874630933298
 standardize, ANOVA, 0.5, 5, 0.9352451470600173, 0.9806085898305928, 0.9642194481565166, 0.9080854256199519, 0.9707934974821011
 standardize, ANOVA, 0.5, 10, 0.9793584684695155, 0.9936511653488764, 0.9828192487565037, 0.9759299600663068, 0.9901575335226701
 standardize, ANOVA, 0.5, 20, 0.9864368841385713, 0.9958144610038369, 0.9867926785173964, 0.9860858535730215, 0.9926054931237687
 standardize, ANOVA, 0.5, None, 0.9863880666913379, 0.9957987845655236, 0.9865976392435163, 0.9861875310974935, 0.992293125134706
 standardize, ANOVA, 0.7, 2, 0.837255970359541, 0.9547899013856318, 0.9410885743883824, 0.7543183300549379, 0.8828874630933298
 standardize, ANOVA, 0.7, 5, 0.9354988987690545, 0.9806869683361871, 0.964644933133983, 0.9081869484625914, 0.9708079648786132
 standardize, ANOVA, 0.7, 10, 0.9790504607232119, 0.9935571091763118, 0.9826096630423876, 0.9755237140139161, 0.9899256505837186
 standardize, ANOVA, 0.7, 20, 0.9861405076186177, 0.9957204072885867, 0.9858965462621864, 0.9863907314646049, 0.9927281734847868
 standardize, ANOVA, 0.7, None, 0.9863935409630056, 0.9957987870228383, 0.9862014186581869, 0.986593828710495, 0.9924591897425117
 standardize, ANOVA, 0.8, 2, 0.9020492238008675, 0.9697452235364391, 0.8852702363790581, 0.9287215804358417, 0.9609288451774182
 standardize, ANOVA, 0.8, 5, 0.9620219919851516, 0.988211661183845, 0.9499465199287043, 0.9754291518537329, 0.9869693762352026
 standardize, ANOVA, 0.8, 10, 0.9820828426883205, 0.9944506698461367, 0.9776676459392624, 0.9865954786500399, 0.9950298454418697
 standardize, ANOVA, 0.8, 20, 0.9907609682574717, 0.9971469570318028, 0.9900576891777148, 0.9914692969452915, 0.9952277832837716
 standardize, ANOVA, 0.8, None, 0.9908689103375874, 0.9971783111370867, 0.9896643307824039, 0.9920786402435724, 0.9952456465503303
 standardize, ANOVA, 0.9, 2, 0.9207096140877207, 0.9740245557725077, 0.870616644594208, 0.9769449306896488, 0.9842576445326555
 standardize, ANOVA, 0.9, 5, 0.9792589459394355, 0.9934943727066268, 0.9648927119511637, 0.9941093548994182, 0.99556310626082
 standardize, ANOVA, 0.9, 10, 0.9857989200757288, 0.9955793070571948, 0.9778309449887018, 0.9939062060929175, 0.9958641631331254
 standardize, ANOVA, 0.9, 20, 0.9934028163335832, 0.9979620961930287, 0.9926980155169407, 0.9941093548994182, 0.996346052749711
 standardize, ANOVA, 0.9, None, 0.9936052686011789, 0.998024803174939, 0.9930014472070935, 0.9942109808632793, 0.9964659501591399
